source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for iPhone,While we are on the subject it is reported that the U.S. Post Office will lose $1.50 on average for each package it delivers for Amazon. That amounts to Billions of Dollars. The Failing N.Y. Times reports that “the size of the company’s lobbying staff has ballooned” and that...,03-31-2018 12:45:41,21657,82372,false,980063581592047617
Twitter for iPhone,...does not include the Fake Washington Post which is used as a “lobbyist” and should so  REGISTER. If the P.O. “increased its parcel rates Amazon’s shipping costs would rise by $2.6 Billion.” This Post Office scam must stop. Amazon must pay real costs (and taxes) now!,03-31-2018 12:52:59,22610,89937,false,980065419632566272
Twitter for iPhone,Only fools or worse are saying that our money losing Post Office makes money with Amazon. THEY LOSE A FORTUNE and this will be changed. Also our fully tax paying retailers are closing stores all over the country...not a level playing field!,04-02-2018 13:35:03,18414,77519,false,980800783313702918
Twitter for iPhone,I am right about Amazon costing the United States Post Office massive amounts of money for being their Delivery Boy. Amazon should pay these costs (plus) and not have them bourne by the American Taxpayer. Many billions of dollars. P.O. leaders don’t have a clue (or do they?)!,04-03-2018 13:55:37,20292,84366,false,981168344924536832
Twitter for iPhone,The Fake News Washington Post Amazon’s “chief lobbyist” has another (of many) phony headlines “Trump Defiant As China Adds Trade Penalties.” WRONG! Should read “Trump Defiant as U.S. Adds Trade Penalties Will End Barriers And Massive  I.P. Theft.” Typically bad reporting!,04-05-2018 13:10:07,24732,93542,false,981881669593559040
Twitter for iPhone,Twitter is getting rid of fake accounts at a record pace. Will that include the Failing New York Times and propaganda machine for Amazon the Washington Post who constantly quote anonymous sources that in my opinion don’t exist - They will both be out of business in 7 years!,07-07-2018 13:21:11,30058,126598,false,1015586529484443648
Twitter for iPhone,The Amazon Washington Post has gone crazy against me ever since they lost the Internet Tax Case in the U.S. Supreme Court two months ago. Next up is the U.S. Post Office which they use at a fraction of real cost as their “delivery boy” for a BIG percentage of their packages....,07-23-2018 13:21:15,20498,85390,false,1021384752136409088
Twitter for iPhone,....In my opinion the Washington Post is nothing more than an expensive (the paper loses a fortune) lobbyist for Amazon. Is it used as protection against antitrust claims which many feel should be brought?,07-23-2018 13:35:20,18549,82618,false,1021388295618682881
Twitter for iPhone,...and the Amazon Washington Post do nothing but write bad stories even on very positive achievements - and they will never change!,07-29-2018 19:09:19,14594,66480,false,1023646669685104641
Twitter for iPhone,Congratulations to  @GreggJarrett on The TREMENDOUS success of his just out book “The Russia Hoax The Illicit Scheme To Clear Hillary Clinton &amp; Frame Donald Trump.” Already number one on Amazon. Hard work from a brilliant guy. It’s the Real Story of the Rigged Witch Hunt!,08-02-2018 04:38:15,17180,70597,false,1024877011775500290
Twitter for iPhone,Congratulations to Gregg Jarrett on his book “THE RUSSIA HOAX THE ILLICIT SCHEME TO CLEAR HILLARY CLINTON AND FRAME DONALD TRUMP” going to #1 on @nytimes and Amazon. It is indeed a HOAX and WITCH HUNT illegally started by people who have already been disgraced. Great book!,08-04-2018 03:01:46,13932,60344,false,1025577505615503360
Twitter for iPhone,I just watched a Fake reporter from the Amazon Washington Post say the White House is “chaotic there does not seem to be a strategy for this Shutdown. There is no plan.” The Fakes always like talking Chaos there is NONE. In fact there’s almost nobody in the W.H. but me and...,01-12-2019 15:57:23,23326,106387,false,1084117143988461571
Twitter for iPhone,So sorry to hear the news about Jeff Bozo being taken down by a competitor whose reporting I understand is far more accurate than the reporting in his lobbyist newspaper the Amazon Washington Post. Hopefully the paper will soon be placed in better &amp; more responsible hands!,01-14-2019 01:45:10,22731,105954,false,1084627451983073280
