"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 18, 2019","24,706.35","24,534.19","24,750.22","24,459.03","372.97M","1.38%"
"Jan 17, 2019","24,370.10","24,147.09","24,474.46","24,088.90","288.59M","0.67%"
"Jan 16, 2019","24,207.16","24,139.91","24,288.61","24,119.72","302.83M","0.59%"
"Jan 15, 2019","24,065.59","23,914.11","24,099.14","23,887.93","291.57M","0.65%"
"Jan 14, 2019","23,909.84","23,880.53","23,964.90","23,765.24","277.56M","-0.36%"
"Jan 11, 2019","23,995.95","23,940.01","23,996.32","23,798.16","262.65M","-0.02%"
"Jan 10, 2019","24,001.92","23,811.11","24,014.78","23,703.25","338.15M","0.51%"
"Jan 09, 2019","23,879.12","23,844.27","23,985.45","23,776.56","324.57M","0.39%"
"Jan 08, 2019","23,787.45","23,680.32","23,864.65","23,581.45","317.42M","1.09%"
"Jan 07, 2019","23,531.35","23,474.26","23,687.74","23,301.59","334.20M","0.42%"
"Jan 04, 2019","23,433.16","22,894.92","23,518.64","22,894.92","396.02M","3.29%"
"Jan 03, 2019","22,686.22","23,176.39","23,176.39","22,638.41","424.24M","-2.83%"
"Jan 02, 2019","23,346.24","23,058.61","23,413.47","22,928.59","321.57M","0.08%"
"Dec 31, 2018","23,327.46","23,153.94","23,333.18","23,118.30","288.83M","1.15%"
"Dec 28, 2018","23,062.40","23,213.61","23,381.88","22,981.33","336.51M","-0.33%"
"Dec 27, 2018","23,138.82","22,629.06","23,138.89","22,267.42","407.94M","1.14%"
"Dec 26, 2018","22,878.45","21,857.73","22,878.92","21,712.53","433.08M","4.98%"
"Dec 24, 2018","21,792.20","22,317.28","22,339.87","21,792.20","308.42M","-2.91%"
"Dec 21, 2018","22,445.37","22,871.74","23,254.59","22,396.34","900.51M","-1.81%"
"Dec 20, 2018","22,859.60","23,224.12","23,282.20","22,644.31","576.70M","-1.99%"
"Dec 19, 2018","23,323.66","23,693.33","24,057.34","23,162.64","503.55M","-1.49%"
"Dec 18, 2018","23,675.64","23,769.13","23,927.77","23,516.02","408.07M","0.35%"
"Dec 17, 2018","23,592.98","23,986.83","24,088.08","23,456.88","466.74M","-2.11%"
"Dec 14, 2018","24,100.51","24,408.04","24,431.14","24,033.79","416.94M","-2.02%"
"Dec 13, 2018","24,597.38","24,575.86","24,740.96","24,473.29","299.97M","0.29%"
"Dec 12, 2018","24,527.27","24,509.09","24,828.29","24,509.09","344.33M","0.64%"
"Dec 11, 2018","24,370.24","24,719.91","24,791.26","24,221.06","342.96M","-0.22%"
"Dec 10, 2018","24,423.26","24,360.95","24,500.81","23,881.37","389.69M","0.14%"
"Dec 07, 2018","24,388.95","24,918.82","25,095.62","24,284.78","398.23M","-2.24%"
"Dec 06, 2018","24,947.67","24,737.42","24,951.01","24,242.22","471.69M","-0.32%"
