Date,Open,High,Low,Close,Adj Close,Volume
1/23/17,2267.780029,2271.780029,2257.02002,2265.199951,2265.199951,3152710000
1/24/17,2267.879883,2284.629883,2266.679932,2280.070068,2280.070068,3810960000
1/25/17,2288.879883,2299.550049,2288.879883,2298.370117,2298.370117,3846020000
1/26/17,2298.629883,2300.98999,2294.080078,2296.679932,2296.679932,3610360000
1/27/17,2299.02002,2299.02002,2291.620117,2294.689941,2294.689941,3135890000
1/30/17,2286.01001,2286.01001,2268.040039,2280.899902,2280.899902,3591270000
1/31/17,2274.02002,2279.090088,2267.209961,2278.870117,2278.870117,4087450000
2/1/17,2285.590088,2289.139893,2272.439941,2279.550049,2279.550049,3916610000
2/2/17,2276.689941,2283.969971,2271.649902,2280.850098,2280.850098,3807710000
2/3/17,2288.540039,2298.310059,2287.879883,2297.419922,2297.419922,3597970000
2/6/17,2294.280029,2296.179932,2288.570068,2292.560059,2292.560059,3109050000
2/7/17,2295.870117,2299.399902,2290.159912,2293.080078,2293.080078,3448690000
2/8/17,2289.550049,2295.909912,2285.379883,2294.669922,2294.669922,3609740000
2/9/17,2296.699951,2311.080078,2296.610107,2307.870117,2307.870117,3677940000
2/10/17,2312.27002,2319.22998,2311.100098,2316.100098,2316.100098,3475020000
2/13/17,2321.719971,2331.580078,2321.419922,2328.25,2328.25,3349730000
2/14/17,2326.120117,2337.580078,2322.169922,2337.580078,2337.580078,3520910000
2/15/17,2335.580078,2351.300049,2334.810059,2349.25,2349.25,3775590000
2/16/17,2349.639893,2351.310059,2338.870117,2347.219971,2347.219971,3672370000
2/17/17,2343.01001,2351.159912,2339.580078,2351.159912,2351.159912,3513060000
2/21/17,2354.909912,2366.709961,2354.909912,2365.379883,2365.379883,3579780000
2/22/17,2361.110107,2365.129883,2358.340088,2362.820068,2362.820068,3468670000
2/23/17,2367.5,2368.26001,2355.090088,2363.810059,2363.810059,4015260000
2/24/17,2355.72998,2367.340088,2352.870117,2367.340088,2367.340088,3831570000
2/27/17,2365.22998,2371.540039,2361.870117,2369.75,2369.75,3582610000
2/28/17,2366.080078,2367.790039,2358.959961,2363.639893,2363.639893,4210140000
3/1/17,2380.129883,2400.97998,2380.129883,2395.959961,2395.959961,4345180000
3/2/17,2394.75,2394.75,2380.169922,2381.919922,2381.919922,3821320000
3/3/17,2380.919922,2383.889893,2375.389893,2383.120117,2383.120117,3555260000
3/6/17,2375.22998,2378.800049,2367.97998,2375.310059,2375.310059,3232700000
3/7/17,2370.73999,2375.120117,2365.51001,2368.389893,2368.389893,3518390000
3/8/17,2369.810059,2373.090088,2361.01001,2362.97998,2362.97998,3812100000
3/9/17,2363.48999,2369.080078,2354.540039,2364.870117,2364.870117,3716340000
3/10/17,2372.52002,2376.860107,2363.040039,2372.600098,2372.600098,3432950000
3/13/17,2371.560059,2374.419922,2368.52002,2373.469971,2373.469971,3133900000
3/14/17,2368.550049,2368.550049,2358.179932,2365.449951,2365.449951,3172630000
3/15/17,2370.340088,2390.01001,2368.939941,2385.26001,2385.26001,3906840000
3/16/17,2387.709961,2388.100098,2377.179932,2381.379883,2381.379883,3365660000
3/17/17,2383.709961,2385.709961,2377.639893,2378.25,2378.25,5178040000
3/20/17,2378.23999,2379.550049,2369.659912,2373.469971,2373.469971,3054930000
3/21/17,2379.320068,2381.929932,2341.899902,2344.02002,2344.02002,4265590000
3/22/17,2343,2351.810059,2336.449951,2348.449951,2348.449951,3572730000
3/23/17,2345.969971,2358.919922,2342.129883,2345.959961,2345.959961,3260600000
3/24/17,2350.419922,2356.219971,2335.73999,2343.97998,2343.97998,2975130000
3/27/17,2329.110107,2344.899902,2322.25,2341.590088,2341.590088,3240230000
3/28/17,2339.790039,2363.780029,2337.629883,2358.570068,2358.570068,3367780000
3/29/17,2356.540039,2363.360107,2352.939941,2361.129883,2361.129883,3106940000
3/30/17,2361.310059,2370.419922,2358.580078,2368.060059,2368.060059,3158420000
3/31/17,2364.820068,2370.350098,2362.600098,2362.719971,2362.719971,3354110000
4/3/17,2362.340088,2365.870117,2344.72998,2358.840088,2358.840088,3416400000
4/4/17,2354.76001,2360.530029,2350.719971,2360.159912,2360.159912,3206240000
4/5/17,2366.590088,2378.360107,2350.52002,2352.949951,2352.949951,3770520000
4/6/17,2353.790039,2364.159912,2348.899902,2357.48999,2357.48999,3201920000
4/7/17,2356.590088,2363.76001,2350.73999,2355.540039,2355.540039,3053150000
4/10/17,2357.159912,2366.370117,2351.5,2357.159912,2357.159912,2785410000
4/11/17,2353.919922,2355.219971,2337.25,2353.780029,2353.780029,3117420000
4/12/17,2352.149902,2352.719971,2341.179932,2344.929932,2344.929932,3196950000
4/13/17,2341.97998,2348.26001,2328.949951,2328.949951,2328.949951,3143890000
4/17/17,2332.620117,2349.139893,2332.51001,2349.01001,2349.01001,2824710000
4/18/17,2342.530029,2348.350098,2334.540039,2342.189941,2342.189941,3269840000
4/19/17,2346.790039,2352.629883,2335.050049,2338.169922,2338.169922,3519900000
4/20/17,2342.689941,2361.370117,2340.909912,2355.840088,2355.840088,3647420000
4/21/17,2354.73999,2356.179932,2344.51001,2348.689941,2348.689941,3503360000
4/24/17,2370.330078,2376.97998,2369.189941,2374.149902,2374.149902,3690650000
4/25/17,2381.51001,2392.47998,2381.149902,2388.610107,2388.610107,3995240000
4/26/17,2388.97998,2398.159912,2386.780029,2387.449951,2387.449951,4105920000
4/27/17,2389.699951,2392.100098,2382.679932,2388.77002,2388.77002,4098460000
4/28/17,2393.679932,2393.679932,2382.360107,2384.199951,2384.199951,3718270000
5/1/17,2388.5,2394.48999,2384.830078,2388.330078,2388.330078,3199240000
5/2/17,2391.050049,2392.929932,2385.820068,2391.169922,2391.169922,3813680000
5/3/17,2386.5,2389.820068,2379.75,2388.129883,2388.129883,3893990000
5/4/17,2389.790039,2391.429932,2380.350098,2389.52002,2389.52002,4362540000
5/5/17,2392.370117,2399.290039,2389.379883,2399.290039,2399.290039,3540140000
5/8/17,2399.939941,2401.360107,2393.919922,2399.379883,2399.379883,3429440000
5/9/17,2401.580078,2403.870117,2392.439941,2396.919922,2396.919922,3653590000
5/10/17,2396.790039,2399.73999,2392.790039,2399.629883,2399.629883,3643530000
5/11/17,2394.840088,2395.719971,2381.73999,2394.439941,2394.439941,3727420000
5/12/17,2392.439941,2392.439941,2387.189941,2390.899902,2390.899902,3305630000
5/15/17,2393.97998,2404.050049,2393.939941,2402.320068,2402.320068,3473600000
5/16/17,2404.550049,2405.77002,2396.050049,2400.669922,2400.669922,3420790000
5/17/17,2382.949951,2384.870117,2356.209961,2357.030029,2357.030029,4163000000
5/18/17,2354.689941,2375.73999,2352.719971,2365.719971,2365.719971,4319420000
5/19/17,2371.370117,2389.060059,2370.429932,2381.72998,2381.72998,3825160000
5/22/17,2387.209961,2395.459961,2386.919922,2394.02002,2394.02002,3172830000
5/23/17,2397.040039,2400.850098,2393.879883,2398.419922,2398.419922,3213570000
5/24/17,2401.409912,2405.580078,2397.98999,2404.389893,2404.389893,3389900000
5/25/17,2409.540039,2418.709961,2408.01001,2415.070068,2415.070068,3535390000
5/26/17,2414.5,2416.679932,2412.199951,2415.820068,2415.820068,2805040000
5/30/17,2411.669922,2415.26001,2409.429932,2412.909912,2412.909912,3203160000
5/31/17,2415.629883,2415.98999,2403.590088,2411.800049,2411.800049,4516110000
6/1/17,2415.649902,2430.060059,2413.540039,2430.060059,2430.060059,3857140000
6/2/17,2431.280029,2440.22998,2427.709961,2439.070068,2439.070068,3461680000
