Date,SPX,Amazon
8/28/15,1988.869995,518.01001
8/31/15,1972.180054,512.890015
9/1/15,1913.849976,496.540009
9/2/15,1948.859985,510.549988
9/3/15,1951.130005,504.720001
9/4/15,1921.219971,499
9/8/15,1969.410034,517.539978
9/9/15,1942.040039,516.890015
9/10/15,1952.290039,522.23999
9/11/15,1961.050049,529.440002
9/14/15,1953.030029,521.380005
9/15/15,1978.089966,522.369995
9/16/15,1995.310059,527.390015
9/17/15,1990.199951,538.869995
9/18/15,1958.030029,540.26001
9/21/15,1966.969971,548.390015
9/22/15,1942.73999,538.400024
9/23/15,1938.76001,536.070007
9/24/15,1932.23999,533.75
9/25/15,1931.339966,524.25
9/28/15,1881.77002,504.059998
9/29/15,1884.089966,496.070007
9/30/15,1920.030029,511.890015
10/1/15,1923.819946,520.719971
10/2/15,1951.359985,532.539978
10/5/15,1987.050049,543.679993
10/6/15,1979.920044,537.47998
10/7/15,1995.829956,541.940002
10/8/15,2013.430054,533.159973
10/9/15,2014.890015,539.799988
10/12/15,2017.459961,550.190002
10/13/15,2003.689941,548.900024
10/14/15,1994.23999,544.830017
10/15/15,2023.859985,562.440002
10/16/15,2033.109985,570.76001
10/19/15,2033.660034,573.150024
10/20/15,2030.77002,560.880005
10/21/15,2018.939941,555.77002
10/22/15,2052.51001,563.909973
10/23/15,2075.149902,599.030029
10/26/15,2071.179932,608.609985
10/27/15,2065.889893,611.01001
10/28/15,2090.350098,617.099976
10/29/15,2089.409912,626.549988
10/30/15,2079.360107,625.900024
11/2/15,2104.050049,628.349976
11/3/15,2109.790039,625.309998
11/4/15,2102.310059,640.950012
11/5/15,2099.929932,655.650024
11/6/15,2099.199951,659.369995
11/9/15,2078.580078,655.48999
11/10/15,2081.719971,659.679993
11/11/15,2075,673.25
11/12/15,2045.969971,665.599976
11/13/15,2023.040039,642.349976
11/16/15,2053.189941,647.809998
11/17/15,2050.439941,643.299988
11/18/15,2083.580078,663.539978
11/19/15,2081.23999,661.27002
11/20/15,2089.169922,668.450012
11/23/15,2086.590088,678.98999
11/24/15,2089.139893,671.150024
11/25/15,2088.870117,675.340027
11/27/15,2090.110107,673.26001
11/30/15,2080.409912,664.799988
12/1/15,2102.629883,679.059998
12/2/15,2079.51001,676.01001
12/3/15,2049.620117,666.25
12/4/15,2091.689941,672.640015
12/7/15,2077.070068,669.830017
12/8/15,2063.590088,677.330017
12/9/15,2047.619995,664.789978
12/10/15,2052.22998,662.320007
12/11/15,2012.369995,640.150024
12/14/15,2021.939941,657.909973
12/15/15,2043.410034,658.640015
12/16/15,2073.070068,675.77002
12/17/15,2041.890015,670.650024
12/18/15,2005.550049,664.140015
12/21/15,2021.150024,664.51001
12/22/15,2038.969971,663.150024
12/23/15,2064.290039,663.700012
12/24/15,2060.98999,662.789978
12/28/15,2056.5,675.200012
12/29/15,2078.360107,693.969971
12/30/15,2063.360107,689.070007
12/31/15,2043.939941,675.890015
1/4/16,2012.660034,636.98999
1/5/16,2016.709961,633.789978
1/6/16,1990.26001,632.650024
1/7/16,1943.089966,607.940002
1/8/16,1922.030029,607.049988
1/11/16,1923.670044,617.73999
1/12/16,1938.680054,617.890015
1/13/16,1890.280029,581.809998
1/14/16,1921.839966,593
1/15/16,1880.329956,570.179993
1/19/16,1881.329956,574.47998
1/20/16,1859.329956,571.77002
1/21/16,1868.98999,575.02002
1/22/16,1906.900024,596.380005
1/25/16,1877.079956,596.530029
